order of covid shutdown,Median Household Income    2020,Population ,Number of households,Health score
48.0000,45155.0000,5024279.0000,1932415.0000,38.0000
10.0000,68019.0000,733391.0000,282073.4615,63.0000
36.0000,52065.0000,7151502.0000,2750577.6923,76.0000
49.0000,43407.0000,3011524.0000,1158278.4615,52.0000
7.0000,76132.0000,39538223.0000,15207008.8462,89.0000
14.0000,66142.0000,5773714.0000,2220659.2308,87.0000
5.0000,76779.0000,3605944.0000,1386901.5385,97.0000
6.0000,76406.0000,989948.0000,380749.2308,87.0000
1.0000,88311.0000,689545.0000,265209.6154,100.0000
38.0000,51277.0000,21538187.0000,8283918.0769,67.0000
25.0000,58050.0000,10711908.0000,4119964.6154,66.0000
29.0000,57087.0000,1455271.0000,559719.6154,95.0000
47.0000,45364.0000,1839106.0000,707348.4615,57.0000
11.0000,67137.0000,12812508.0000,4927887.6923,79.0000
31.0000,55313.0000,6785528.0000,2609818.4615,60.0000
20.0000,60924.0000,3190369.0000,1227065.0000,85.0000
23.0000,59656.0000,2937880.0000,1129953.8462,74.0000
45.0000,47190.0000,4505836.0000,1733013.8462,54.0000
41.0000,50619.0000,4657757.0000,1791445.0000,58.0000
40.0000,50850.0000,1362359.0000,523984.2308,77.0000
13.0000,66531.0000,6177224.0000,2375855.3846,93.0000
3.0000,82948.0000,7029917.0000,2703814.2308,98.0000
39.0000,51166.0000,10077331.0000,3875896.5385,81.0000
15.0000,65486.0000,5706494.0000,2194805.3846,92.0000
51.0000,38502.0000,2961279.0000,1138953.4615,38.0000
34.0000,53517.0000,6154913.0000,2367274.2308,58.0000
44.0000,47421.0000,1084225.0000,417009.6154,70.0000
9.0000,68031.0000,1961504.0000,754424.6154,81.0000
33.0000,54894.0000,3104614.0000,1194082.3077,62.0000
17.0000,63593.0000,1377529.0000,529818.8462,89.0000
12.0000,66659.0000,9288994.0000,3572690.0000,90.0000
46.0000,46502.0000,2117522.0000,814431.5385,72.0000
2.0000,85575.0000,20201249.0000,7769711.1538,90.0000
30.0000,56404.0000,10439388.0000,4015149.2308,79.0000
8.0000,70420.0000,779094.0000,299651.5385,76.0000
27.0000,57466.0000,11799448.0000,4538249.2308,57.0000
43.0000,47465.0000,3959353.0000,1522828.0769,46.0000
26.0000,57474.0000,4237256.0000,1629713.8462,77.0000
24.0000,59424.0000,13002700.0000,5001038.4615,83.0000
32.0000,55241.0000,1097379.0000,422068.8462,96.0000
42.0000,47728.0000,5118425.0000,1968625.0000,72.0000
19.0000,61762.0000,886667.0000,341025.7692,75.0000
35.0000,53406.0000,6910840.0000,2658015.3846,62.0000
21.0000,60771.0000,29145505.0000,11209809.6154,63.0000
22.0000,60201.0000,3271616.0000,1258313.8462,78.0000
37.0000,52039.0000,643077.0000,247337.3077,84.0000
16.0000,63662.0000,8631393.0000,3319766.5385,83.0000
4.0000,78284.0000,7705281.0000,2963569.6154,86.0000
50.0000,42382.0000,1793716.0000,689890.7692,48.0000
28.0000,57314.0000,5893718.0000,2266814.6154,83.0000
18.0000,62923.0000,576851.0000,221865.7692,51.0000
