real GDP growth ,nominal GDP per capita 2021,Nominal GDP per capita 2020,Nominal GDP 2021: percent of US,Nominal GDP 2020 percent of US,order of covid shutdown,Median Household Income    2020,Population ,Number of households
0.0110,"71,911.0000","62,923.0000",0.0018,0.0017,18.0000,"62,923.0000","576,851.0000","221,865.7692"
0.0350,"56,028.0000","52,039.0000",0.0016,0.0016,37.0000,"52,039.0000","643,077.0000","247,337.3077"
0.0280,"226,861.0000","209,471.0000",0.0067,0.0070,1.0000,"88,311.0000","689,545.0000","265,209.6154"
0.0030,"75,027.0000","68,019.0000",0.0024,0.0024,10.0000,"68,019.0000","733,391.0000","282,073.4615"
0.0210,"81,795.0000","70,420.0000",0.0028,0.0026,8.0000,"70,420.0000","779,094.0000","299,651.5385"
0.0490,"68,357.0000","61,762.0000",0.0027,0.0026,19.0000,"61,762.0000","886,667.0000","341,025.7692"
0.0370,"80,446.0000","76,406.0000",0.0035,0.0037,6.0000,"76,406.0000","989,948.0000","380,749.2308"
0.0670,"53,703.0000","47,421.0000",0.0026,0.0025,44.0000,"47,421.0000","1,084,225.0000","417,009.6154"
0.0550,"60,185.0000","55,241.0000",0.0029,0.0029,32.0000,"55,241.0000","1,097,379.0000","422,068.8462"
0.0520,"55,425.0000","50,850.0000",0.0033,0.0033,40.0000,"50,850.0000","1,362,359.0000","523,984.2308"
0.0850,"70,729.0000","63,593.0000",0.0043,0.0042,17.0000,"63,593.0000","1,377,529.0000","529,818.8462"
0.0460,"62,474.0000","57,087.0000",0.0039,0.0040,29.0000,"57,087.0000","1,455,271.0000","559,719.6154"
0.0400,"49,017.0000","42,382.0000",0.0038,0.0037,50.0000,"42,382.0000","1,793,716.0000","689,890.7692"
0.0580,"49,616.0000","45,364.0000",0.0041,0.0040,47.0000,"45,364.0000","1,839,106.0000","707,348.4615"
0.0530,"76,584.0000","68,031.0000",0.0066,0.0064,9.0000,"68,031.0000","1,961,504.0000","754,424.6154"
0.0250,"51,481.0000","46,502.0000",0.0048,0.0047,46.0000,"46,502.0000","2,117,522.0000","814,431.5385"
